id,rmp_id,university_id,university_name,name,url,reviews,would_take_again,level_of_difficulty,average_rating,average_sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,1779627,47,University of Houston,"Corsi, Aaron",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1779627&showMyProfs=true,8,50,2,5,0.63920893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,2444419,76,California State Polytechnic University--Pomona,,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2444419&showMyProfs=true,5,80,2.8,5,0.49016239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2095344,8,New York University,"Karaburun, Recep",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2095344&showMyProfs=true,7,100,3,5,0.61400481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2114131,9,Boston University,"Muller, Christopher",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2114131&showMyProfs=true,9,100,1.6,5,0.70555126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2477319,14,Florida State University,"Dogru, Tarik",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2477319&showMyProfs=true,9,100,2.1,5,0.49189172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1874702,25,Temple University,"Rosen, Ira",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1874702&showMyProfs=true,5,100,2.2,5,0.42234541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2184928,30,University of South Carolina,"Xanthakos, jana",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2184928&showMyProfs=true,5,100,1.4,5,0.61469835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1842238,31,DePaul University,"Avella, Mike",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1842238&showMyProfs=true,21,100,1.5,5,0.5472863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,2287769,35,University of Nebraska--Lincoln,"Ammachathram, Ajai",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2287769&showMyProfs=true,10,100,2.4,5,0.52229769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,2134294,37,San Diego State University,"Greenberg, Sue",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2134294&showMyProfs=true,6,100,2,5,0.46028098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
